#options: 592x352 fps=3/1 timebase=1/3 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=3 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=8 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:43.43 aq:33.14 tex:81518 mv:14831 misc:115 imb:814 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:43.43 aq:33.71 tex:295 mv:97 misc:264 imb:3 pmb:18 smb:793 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:43.43 aq:44.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:43.43 aq:46.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:43.43 aq:46.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:51.43 aq:47.03 tex:327 mv:156 misc:205 imb:2 pmb:18 smb:794 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:48.76 aq:51.00 tex:0 mv:26 misc:150 imb:0 pmb:5 smb:809 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:46.09 aq:50.79 tex:148 mv:125 misc:175 imb:1 pmb:16 smb:797 d:s ref:0 ;
in:10 out:8 type:P dur:2 cpbdur:2 q:59.43 aq:51.00 tex:14 mv:5 misc:141 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:56.76 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:54.09 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:61.20 aq:51.00 tex:65 mv:72 misc:159 imb:1 pmb:8 smb:805 d:s ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:60.31 aq:51.00 tex:0 mv:11 misc:149 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:59.87 aq:51.00 tex:0 mv:11 misc:133 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:60.76 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:58.66 aq:51.00 tex:34 mv:22 misc:152 imb:1 pmb:1 smb:812 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:59.93 aq:51.00 tex:1 mv:9 misc:126 imb:0 pmb:1 smb:813 d:s ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:57.65 aq:51.00 tex:82 mv:64 misc:166 imb:1 pmb:6 smb:807 d:s ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:58.16 aq:51.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:58.41 aq:51.00 tex:0 mv:27 misc:141 imb:0 pmb:2 smb:812 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:57.91 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:56.08 aq:50.00 tex:0 mv:31 misc:161 imb:0 pmb:3 smb:811 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:56.87 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:24 out:23 type:P dur:2 cpbdur:2 q:55.38 aq:50.97 tex:259 mv:96 misc:189 imb:4 pmb:8 smb:802 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:55.73 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:54.31 aq:50.53 tex:167 mv:85 misc:180 imb:3 pmb:7 smb:804 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:54.84 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:29 out:27 type:P dur:2 cpbdur:2 q:53.16 aq:46.30 tex:96 mv:75 misc:165 imb:0 pmb:11 smb:803 d:s ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:53.54 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:53.92 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:33 out:30 type:P dur:2 cpbdur:2 q:51.46 aq:47.48 tex:493 mv:100 misc:183 imb:2 pmb:15 smb:797 d:s ref:0 ;
in:31 out:31 type:B dur:2 cpbdur:2 q:52.31 aq:51.00 tex:0 mv:0 misc:136 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:30 out:32 type:b dur:2 cpbdur:2 q:52.73 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:51.88 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:- ref:0 ;
in:36 out:34 type:P dur:2 cpbdur:2 q:49.27 aq:47.04 tex:599 mv:139 misc:206 imb:1 pmb:21 smb:792 d:s ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:50.00 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:50.73 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
in:38 out:37 type:P dur:2 cpbdur:2 q:47.74 aq:45.80 tex:774 mv:163 misc:215 imb:3 pmb:25 smb:786 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:48.51 aq:51.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
